KEGG pathway	Protein accession	KEGG KO No.	T4/T2 Ratio	Regulated Type
map05168 Herpes simplex virus 1 infection	Q9R233	K08058	2.069517111244532	Up
map05169 Epstein-Barr virus infection	P01899	K06751	1.681877356796552	Up
map05169 Epstein-Barr virus infection	P01901	K06751	1.5778688524590163	Up
map05169 Epstein-Barr virus infection	P13597	K06490	1.6043238688543215	Up
map05169 Epstein-Barr virus infection	P21958	K05653	3.100587479733002	Up
map05169 Epstein-Barr virus infection	P36371	K05654	2.8227098715498005	Up
map05169 Epstein-Barr virus infection	P42225	K11220	2.451567944250871	Up
map05169 Epstein-Barr virus infection	Q03963	K16195	2.4143854344259656	Up
map05169 Epstein-Barr virus infection	Q64339	K12159	1.5032808124712669	Up
map05169 Epstein-Barr virus infection	Q8CIH5	K05859	1.6081580148553882	Up
map05169 Epstein-Barr virus infection	Q9R233	K08058	2.069517111244532	Up
map05170 Human imapnodeficiency virus 1 infection	P01899	K06751	1.681877356796552	Up
map05170 Human imapnodeficiency virus 1 infection	P01901	K06751	1.5778688524590163	Up
map05170 Human imapnodeficiency virus 1 infection	P21958	K05653	3.100587479733002	Up
map05170 Human imapnodeficiency virus 1 infection	P36371	K05654	2.8227098715498005	Up
map05170 Human imapnodeficiency virus 1 infection	Q8CIH5	K05859	1.6081580148553882	Up
map05170 Human imapnodeficiency virus 1 infection	Q8R2Q8	K06731	2.0550855167394477	Up
map05170 Human imapnodeficiency virus 1 infection	Q9R233	K08058	2.069517111244532	Up
map05171 Coronavirus disease - COVID-19	P09470	K01283	1.5182464538798035	Up
map05171 Coronavirus disease - COVID-19	P42225	K11220	2.451567944250871	Up
map05171 Coronavirus disease - COVID-19	Q03963	K16195	2.4143854344259656	Up
map05171 Coronavirus disease - COVID-19	Q64339	K12159	1.5032808124712669	Up
map05171 Coronavirus disease - COVID-19	Q8CIH5	K05859	1.6081580148553882	Up
map05320 Autoimapne thyroid disease	P01899	K06751	1.681877356796552	Up
map05320 Autoimapne thyroid disease	P01901	K06751	1.5778688524590163	Up
map05323 Rheumatoid arthritis	P13597	K06490	1.6043238688543215	Up
map05323 Rheumatoid arthritis	Q8BVE3	K02144	1.5011088832178878	Up
map05330 Allograft rejection	P01899	K06751	1.681877356796552	Up
map05330 Allograft rejection	P01901	K06751	1.5778688524590163	Up
map05332 Graft-versus-host disease	P01899	K06751	1.681877356796552	Up
map05332 Graft-versus-host disease	P01901	K06751	1.5778688524590163	Up
map05340 Primary imapnodeficiency	P21958	K05653	3.100587479733002	Up
map05340 Primary imapnodeficiency	P36371	K05654	2.8227098715498005	Up
map05410 Hypertrophic cardiomyopathy	O70309	K06588	1.833067711922812	Up
map05410 Hypertrophic cardiomyopathy	P09470	K01283	1.5182464538798035	Up
map05410 Hypertrophic cardiomyopathy	Q91Z83	K17751	3.9583008032011366	Up
map05416 Viral myocarditis	P01899	K06751	1.681877356796552	Up
map05416 Viral myocarditis	P01901	K06751	1.5778688524590163	Up
map05416 Viral myocarditis	P13597	K06490	1.6043238688543215	Up
map05416 Viral myocarditis	Q91Z83	K17751	3.9583008032011366	Up
map03320 PPAR signaling pathway	P33622	K08759	0.5617716346654991	Down
map03320 PPAR signaling pathway	P43883	K17284	0.6191252085285313	Down
map03320 PPAR signaling pathway	Q8BVZ1	K20255	0.6464508529296279	Down
map00220 Arginine biosynthesis	P16460	K01940	1.7156601257382358	Up
map00220 Arginine biosynthesis	Q8QZR5	K00814	0.6310934184431608	Down
